Church Name,Street Address,Street Address Line 2,City,County,Postal / EirCode,Website (if available),Denomination,Tradition,Latitude,Longitude,LEA
(Howth and) Malahide Presbyterian Church,Dublin Road,,Malahide,Dublin,,https://www.hmpchurch.org,PCI,Presbyterian/Reformed,53.45027,-6.15906,HOWTH-MALAHIDE
Abbey Presbyterian Church,Parnell Square North,,North Frederick Street,Dublin,,https://www.abbeychurch.ie,PCI,Presbyterian/Reformed,53.35442,-6.26392,NORTH INNER CITY
Abbey St Methodist Church,9c Lower Abbey Street,,Dublin 1,Dublin,D01 EY05,,Methodist,Methodist/Wesleyan,53.3486,-6.2592,NORTH INNER CITY
Abbey Street Methodist Church,9C Lower Abbey Street,Dublin Central Mission,Dublin 1,Dublin,D01 A3C4,dublincentralmission.ie,Methodist,Methodist/Wesleyan,53.348712,-6.258178,NORTH INNER CITY
Abundant Grace,"Unit 2, John Crossan Business Park, Bonagee",,Letterkenny,Donegal,F92 F862,,RCCG,Pentecostal/Charismatic,54.9452,-7.7123,LETTERKENNY
Abundant Grace Christian Assembly,"Regal House, 28 Fitzwilliam Street",Ringsend,Dublin 4,Dublin,D04 FH24,https://www.abundantgrace.ie,Various Pentecostal,Pentecostal/Charismatic,53.342294,-6.227141,SOUTH EAST INNER CITY
Abundant Life Christian Church,"Crown House, 55/56 Henry Street",,Limerick,Limerick,V94 PTY8,https://www.abunlife.com/,Christian Churches Ireland,Pentecostal/Charismatic,52.66103,-8.63137,LIMERICK CITY WEST
Abundant Life Family Church,"Abundant Life Family Church, Bluebell Lane",George Cooke Industrial Estate,Dublin,Dublin,D12 HPY2,https://www.facebook.com/abundantlifefamilychurchdublin/,Various Pentecostal,Pentecostal/Charismatic,53.329155,-6.346923,BALLYFERMOT-DRIMNAGH
Adare Methodist Church,Blackabbey Road,,Adare,Limerick,V94 TW83,,Methodist,Methodist/Wesleyan,52.5639,-8.7901,ADARE-RATHKEALE
Adelaide Road Presbyterian Church,18a Adelaide Road,,Dublin 2,Dublin,,https://www.adelaideroadchurch.ie,PCI,Presbyterian/Reformed,53.33266,-6.25829,SOUTH EAST INNER CITY
Adelaide Road Presbyterian Church,18A Adelaide Road,Dublin 2,Dublin,Dublin,D02 HP49,,PCI,Presbyterian/Reformed,53.332755,-6.258598,SOUTH EAST INNER CITY
AFM Praise Tabernacle,9 Portland Row,Dublin 1,Dublin,Dublin,,,Various Pentecostal,Pentecostal/Charismatic,53.356380,-6.24893,NORTH INNER CITY
Agape Family Centre,"Unit 6, Seapoint Business Park",,Tramore,Waterford,X91 E023,,RCCG,Pentecostal/Charismatic,52.1624,-7.1512,TRAMORE-WATERFORD CITY WEST
Agape Parish,"33 Belmont Court, Rochestown",,Ballincollig,Cork,T12 P652,,RCCG,Pentecostal/Charismatic,51.8794,-8.6012,CORK CITY SOUTH WEST
Aghada Presbyterian Church,"Church Road, Upper Aghada",,Midleton,Cork,,,PCI,Presbyterian/Reformed,51.83735,-8.21453,MIDLETON
Alive Chapel,Mill Park Road,,Enniscorthy,Wexford,,,Various Pentecostal,Pentecostal/Charismatic,52.499977,-6.567202,ENNISCORTHY
Alive Church Enniscorthy,Unit 2 Abbey Centre,,Enniscorthy,Wexford,Y21 V2X4,alivechurch.ie,Various Pentecostal,Pentecostal/Charismatic,52.500249,-6.565136,ENNISCORTHY
All Nations Assembly,"Apple Community Centre, Bunbury Gate Ave",,Swords,Dublin,K67 E903,,RCCG,Pentecostal/Charismatic,53.4564,-6.2134,SWORDS
All Nations Church,"National Stadium, 145 South Circular Road",,Dublin 8,Dublin,D08 HY40,https://www.allnations.ie/,Various Pentecostal,Pentecostal/Charismatic,53.330833,-6.280278,SOUTH WEST INNER CITY
